frame	x	V
493	333666.94	16000.00
494	334333.61	16000.00
495	335000.27	16000.00
496	335666.94	16000.00
497	336333.61	16000.00
498	337000.27	16000.00
499	337666.94	16000.00
500	338333.61	16000.00
501	339000.27	16000.00
502	339666.94	16000.00
503	340333.61	16000.00
504	341000.27	16000.00
505	341666.94	16000.00
506	342333.61	16000.00
507	343000.27	16000.00
508	343666.94	16000.00
509	344333.61	16000.00
510	345000.27	16000.00
511	345666.94	16000.00
512	346333.61	16000.00
513	347000.27	16000.00
514	347666.94	16000.00
515	348333.61	16000.00
516	349000.27	16000.00
517	349666.94	16000.00
518	350333.61	16000.00
519	351000.27	16000.00
520	351666.94	16000.00
521	352333.61	16000.00
522	353000.27	16000.00
523	353666.94	16000.00
524	354333.61	16000.00
525	355000.27	16000.00
526	355666.94	16000.00
527	356333.61	16000.00
528	357000.27	16000.00
529	357666.94	16000.00
530	358333.61	16000.00
531	359000.27	16000.00
532	359666.94	16000.00
533	360333.61	16000.00
534	361000.27	16000.00
535	361666.94	16000.00
536	362333.61	16000.00
537	363000.27	16000.00
538	363666.94	16000.00
539	364333.61	16000.00
540	365000.27	16000.00
541	365666.94	16000.00
542	366333.61	16000.00
543	367000.27	16000.00
544	367666.94	16000.00
545	368333.61	16000.00
546	369000.27	16000.00
547	369666.94	16000.00
548	370333.61	16000.00
549	371000.27	16000.00
550	371666.94	16000.00
551	372333.61	16000.00
552	373000.27	16000.00
553	373666.94	16000.00
554	374333.61	16000.00
555	375000.27	16000.00
556	375666.94	16000.00
557	376333.61	16000.00
558	377000.27	16000.00
559	377666.94	16000.00
560	378333.61	16000.00
561	379000.27	16000.00
562	379666.94	16000.00
563	380333.61	16000.00
564	381000.27	16000.00
565	381666.94	16000.00
566	382333.61	16000.00
567	383000.27	16000.00
568	383666.94	16000.00
569	384333.61	16000.00
570	385000.27	16000.00
571	385666.94	16000.00
572	386333.61	16000.00
573	387000.27	16000.00
574	387666.94	16000.00
575	388333.61	16000.00
576	389000.27	16000.00
577	389666.94	16000.00
578	390333.61	16000.00
579	391000.27	16000.00
580	391666.94	16000.00
581	392333.61	16000.00
582	393000.27	16000.00
583	393666.94	16000.00
584	394333.61	16000.00
585	395000.27	16000.00
586	395666.94	16000.00
587	396333.61	16000.00
588	397000.27	16000.00
589	397666.94	16000.00
590	398333.61	16000.00
591	399000.27	16000.00
592	399666.94	16000.00
593	400333.61	16000.00
594	401000.27	16000.00
595	401666.94	16000.00
596	402333.61	16000.00
597	403000.27	16000.00
598	403666.94	16000.00
599	404333.61	16000.00
600	405000.27	16000.00
601	405666.94	16000.00
602	406333.61	16000.00
603	407000.27	16000.00
604	407666.94	16000.00
605	408333.61	16000.00
606	409000.27	16000.00
607	409666.94	16000.00
608	410333.61	16000.00
609	411000.27	16000.00
610	411666.94	16000.00
611	412333.61	16000.00
612	413000.27	16000.00
613	413666.94	16000.00
614	414333.61	16000.00
615	415000.27	16000.00
616	415666.94	16000.00
617	416333.61	16000.00
618	417000.27	16000.00
619	417666.94	16000.00
620	418333.61	16000.00
621	419000.27	16000.00
622	419666.94	16000.00
623	420333.61	16000.00
624	421000.27	16000.00
625	421666.94	16000.00
626	422333.61	16000.00
627	423000.27	16000.00
628	423666.94	16000.00
629	424333.61	16000.00
630	425000.27	16000.00
631	425666.94	16000.00
632	426333.61	16000.00
633	427000.27	16000.00
634	427666.94	16000.00
635	428333.61	16000.00
636	429000.27	16000.00
637	429666.94	16000.00
638	430333.61	16000.00
639	431000.27	16000.00
640	431666.94	16000.00
641	432333.61	16000.00
642	433000.27	16000.00
643	433666.94	16000.00
644	434333.61	16000.00
645	435000.27	16000.00
646	435666.94	16000.00
647	436333.61	16000.00
648	437000.27	16000.00
649	437666.94	16000.00
650	438333.61	16000.00
651	439000.27	16000.00
652	439666.94	16000.00
653	440333.61	16000.00
654	441000.27	16000.00
655	441666.94	16000.00
656	442333.61	16000.00
657	443000.27	16000.00
658	443666.94	16000.00
659	444333.61	16000.00
660	445000.27	16000.00
661	445666.94	16000.00
662	446333.61	16000.00
663	447000.27	16000.00
664	447666.94	16000.00
665	448333.61	16000.00
666	449000.27	16000.00
667	449666.94	16000.00
668	450333.61	16000.00
669	451000.27	16000.00
670	451666.94	16000.00
671	452333.61	16000.00
672	453000.27	16000.00
673	453666.94	16000.00
674	454333.61	16000.00
675	455000.27	16000.00
676	455666.94	16000.00
677	456333.61	16000.00
678	457000.27	16000.00
679	457666.94	16000.00
680	458333.61	16000.00
681	459000.27	16000.00
682	459666.94	16000.00
683	460333.61	16000.00
684	461000.27	16000.00
685	461666.94	16000.00
686	462333.61	16000.00
687	463000.27	16000.00
688	463666.94	16000.00
689	464333.61	16000.00
690	465000.27	16000.00
691	465666.94	16000.00
692	466333.61	16000.00
693	467000.27	16000.00
694	467666.94	16000.00
695	468333.61	16000.00
696	469000.27	16000.00
697	469666.94	16000.00
698	470333.61	16000.00
699	471000.27	16000.00
700	471666.94	16000.00
701	472333.61	16000.00
702	473000.27	16000.00
703	473666.94	16000.00
704	474333.61	16000.00
705	475000.27	16000.00
706	475666.94	16000.00
707	476333.61	16000.00
708	477000.27	16000.00
709	477666.94	16000.00
710	478333.61	16000.00
711	479000.27	16000.00
712	479666.94	16000.00
713	480333.61	16000.00
714	481000.27	16000.00
715	481666.94	16000.00
716	482333.61	16000.00
717	483000.27	16000.00
718	483666.94	16000.00
719	484333.61	16000.00
720	485000.27	16000.00
721	485666.94	16000.00
722	486333.61	16000.00
723	487000.27	16000.00
724	487666.94	16000.00
725	488333.61	16000.00
726	489000.27	16000.00
727	489666.94	16000.00
728	490333.61	16000.00
729	491000.27	16000.00
730	491666.94	16000.00
731	492333.61	16000.00
