frame	y	V
642	163000.00	16000.00
643	162333.33	16000.00
644	161666.67	16000.00
645	161000.00	16000.00
646	160333.33	16000.00
647	159666.67	16000.00
648	159000.00	16000.00
649	158333.33	16000.00
650	157666.67	16000.00
651	157000.00	16000.00
652	156333.33	16000.00
653	155666.67	16000.00
654	155000.00	16000.00
655	154333.33	16000.00
656	153666.67	16000.00
657	153000.00	16000.00
658	152333.33	16000.00
659	151666.67	16000.00
660	151000.00	16000.00
661	150333.33	16000.00
662	149666.67	16000.00
663	149000.00	16000.00
664	148333.33	16000.00
665	147666.67	16000.00
666	147000.00	16000.00
667	146333.33	16000.00
668	145666.67	16000.00
669	145000.00	16000.00
670	144333.33	16000.00
671	143666.67	16000.00
672	143000.00	16000.00
673	142333.33	16000.00
674	141666.67	16000.00
675	141000.00	16000.00
676	140333.33	16000.00
677	139666.67	16000.00
678	139000.00	16000.00
679	138333.33	16000.00
680	137666.67	16000.00
681	137000.00	16000.00
682	136333.33	16000.00
683	135666.67	16000.00
684	135000.00	16000.00
685	134333.33	16000.00
686	133666.67	16000.00
687	133000.00	16000.00
688	132333.33	16000.00
689	131666.67	16000.00
690	131000.00	16000.00
691	130333.33	16000.00
692	129666.67	16000.00
693	129000.00	16000.00
694	128333.33	16000.00
695	127666.67	16000.00
696	127000.00	16000.00
697	126333.33	16000.00
698	125666.67	16000.00
699	125000.00	16000.00
700	124333.33	16000.00
701	123666.67	16000.00
702	123000.00	16000.00
703	122333.33	16000.00
704	121666.67	16000.00
705	121000.00	16000.00
706	120333.33	16000.00
707	119666.67	16000.00
708	119000.00	16000.00
709	118333.33	16000.00
710	117666.67	16000.00
711	117000.00	16000.00
712	116333.33	16000.00
713	115666.67	16000.00
714	115000.00	16000.00
715	114333.33	16000.00
716	113666.67	16000.00
717	113000.00	16000.00
718	112333.33	16000.00
719	111666.67	16000.00
720	111000.00	16000.00
721	110333.33	16000.00
722	109666.67	16000.00
723	109000.00	16000.00
724	108333.33	16000.00
725	107666.67	16000.00
726	107000.00	16000.00
727	106333.33	16000.00
728	105666.67	16000.00
729	105000.00	16000.00
730	104333.33	16000.00
731	103666.67	16000.00
732	103000.00	16000.00
733	102333.33	16000.00
734	101666.67	16000.00
735	101000.00	16000.00
736	100333.33	16000.00
737	99666.67	16000.00
738	99000.00	16000.00
739	98333.33	16000.00
740	97666.67	16000.00
741	97000.00	16000.00
742	96333.33	16000.00
743	95666.67	16000.00
744	95000.00	16000.00
745	94333.33	16000.00
746	93666.67	16000.00
747	93000.00	16000.00
748	92333.33	16000.00
749	91666.67	16000.00
750	91000.00	16000.00
751	90333.33	16000.00
752	89666.67	16000.00
753	89000.00	16000.00
754	88333.33	16000.00
755	87666.67	16000.00
756	87000.00	16000.00
757	86333.33	16000.00
758	85666.67	16000.00
759	85000.00	16000.00
760	84333.33	16000.00
761	83666.67	16000.00
762	83000.00	16000.00
763	82333.33	16000.00
764	81666.67	16000.00
765	81000.00	16000.00
766	80333.33	16000.00
767	79666.67	16000.00
768	79000.00	16000.00
769	78333.33	16000.00
770	77666.67	16000.00
771	77000.00	16000.00
772	76333.33	16000.00
773	75666.67	16000.00
774	75000.00	16000.00
775	74334.22	15978.61
776	73671.11	15914.81
777	73012.37	15809.70
778	72359.66	15665.06
779	71714.52	15483.38
780	71078.36	15267.77
781	70452.45	15021.90
782	69837.86	14750.00
783	69235.50	14456.71
784	68646.04	14147.05
785	68069.95	13826.32
786	67507.45	13500.00
787	66958.54	13173.68
788	66423.00	12852.95
789	65900.36	12543.29
790	65389.95	12250.00
791	64890.86	11978.10
792	64402.02	11732.23
793	63922.16	11516.62
794	63449.87	11334.94
795	62983.61	11190.30
796	62521.72	11085.19
797	62062.50	11021.39
798	61604.17	11000.00
799	61144.94	11021.39
800	60683.06	11085.19
801	60216.80	11190.30
802	59744.51	11334.94
803	59264.65	11516.62
804	58775.81	11732.23
805	58276.72	11978.10
806	57766.30	12250.00
807	57243.66	12543.29
808	56708.12	12852.95
809	56159.22	13173.68
810	55596.72	13500.00
811	55020.62	13826.32
812	54431.16	14147.05
813	53828.80	14456.71
814	53214.22	14750.00
815	52588.31	15021.90
816	51952.15	15267.77
817	51307.01	15483.38
818	50654.30	15665.06
819	49995.56	15809.70
820	49332.44	15914.81
821	48666.67	15978.61
822	48000.00	16000.00
823	47333.33	16000.00
824	46666.67	16000.00
825	46000.00	16000.00
826	45333.33	16000.00
827	44666.67	16000.00
828	44000.00	16000.00
829	43333.33	16000.00
830	42666.67	16000.00
831	42000.00	16000.00
832	41333.33	16000.00
833	40666.67	16000.00
834	40000.00	16000.00
835	39333.33	16000.00
836	38666.67	16000.00
837	38000.00	16000.00
838	37333.33	16000.00
839	36666.67	16000.00
840	36000.00	16000.00
841	35333.33	16000.00
842	34666.67	16000.00
843	34000.00	16000.00
844	33333.33	16000.00
845	32666.67	16000.00
846	32000.00	16000.00
847	31333.33	16000.00
848	30666.67	16000.00
849	30000.00	16000.00
850	29333.33	16000.00
851	28666.67	16000.00
852	28000.00	16000.00
853	27333.33	16000.00
854	26666.67	16000.00
855	26000.00	16000.00
856	25333.33	16000.00
857	24666.67	16000.00
858	24000.00	16000.00
859	23333.33	16000.00
860	22666.67	16000.00
861	22000.00	16000.00
862	21333.33	16000.00
863	20666.67	16000.00
864	20000.00	16000.00
865	19333.33	16000.00
866	18666.67	16000.00
867	18000.00	16000.00
868	17333.33	16000.00
869	16666.67	16000.00
870	16000.00	16000.00
871	15333.33	16000.00
872	14666.67	16000.00
873	14000.00	16000.00
874	13333.33	16000.00
875	12666.67	16000.00
876	12000.00	16000.00
877	11333.33	16000.00
878	10666.67	16000.00
879	10000.00	16000.00
880	9333.33	16000.00
881	8666.67	16000.00
882	8000.00	16000.00
883	7333.33	16000.00
884	6666.67	16000.00
885	6000.00	16000.00
886	5333.33	16000.00
887	4666.67	16000.00
888	4000.00	16000.00
889	3333.33	16000.00
890	2666.67	16000.00
891	2000.00	16000.00
892	1333.33	16000.00
893	666.67	16000.00
894	0.00	16000.00
