frame	x	v
864	269999.99	16000.00
865	269333.32	16000.00
866	268666.66	16000.00
867	267999.99	16000.00
868	267333.32	16000.00
869	266666.66	16000.00
870	265999.99	16000.00
871	265333.32	16000.00
872	264666.66	16000.00
873	263999.99	16000.00
874	263333.32	16000.00
875	262666.66	16000.00
876	261999.99	16000.00
877	261333.32	16000.00
878	260666.66	16000.00
879	259999.99	16000.00
880	259333.32	16000.00
881	258666.66	16000.00
882	257999.99	16000.00
883	257333.32	16000.00
884	256666.66	16000.00
885	255999.99	16000.00
886	255333.32	16000.00
887	254666.66	16000.00
888	253999.99	16000.00
889	253333.32	16000.00
890	252666.66	16000.00
891	251999.99	16000.00
892	251333.32	16000.00
893	250666.66	16000.00
894	249999.99	16000.00
895	249333.32	16000.00
896	248666.66	16000.00
897	247999.99	16000.00
898	247333.32	16000.00
899	246666.66	16000.00
900	245999.99	16000.00
901	245333.32	16000.00
902	244666.66	16000.00
903	243999.99	16000.00
904	243333.32	16000.00
905	242666.66	16000.00
906	241999.99	16000.00
907	241333.32	16000.00
908	240666.66	16000.00
909	239999.99	16000.00
910	239333.32	16000.00
911	238666.66	16000.00
912	237999.99	16000.00
913	237333.32	16000.00
914	236666.66	16000.00
915	235999.99	16000.00
916	235333.32	16000.00
917	234666.66	16000.00
918	233999.99	16000.00
919	233333.32	16000.00
920	232666.66	16000.00
921	231999.99	16000.00
922	231333.32	16000.00
923	230666.66	16000.00
924	229999.99	16000.00
925	229333.32	16000.00
926	228666.66	16000.00
927	227999.99	16000.00
928	227333.32	16000.00
929	226666.66	16000.00
930	225999.99	16000.00
931	225333.32	16000.00
932	224666.66	16000.00
933	223999.99	16000.00
934	223333.32	16000.00
935	222666.66	16000.00
936	221999.99	16000.00
937	221333.32	16000.00
938	220666.66	16000.00
939	219999.99	16000.00
940	219333.32	16000.00
941	218666.66	16000.00
942	217999.99	16000.00
943	217333.32	16000.00
944	216666.66	16000.00
945	215999.99	16000.00
946	215333.32	16000.00
947	214666.66	16000.00
948	213999.99	16000.00
949	213333.32	16006.34
950	212666.39	16025.32
951	211998.67	16056.79
952	211329.64	16100.51
953	210658.78	16156.15
954	209985.61	16223.29
955	209309.64	16301.41
956	208630.41	16389.93
957	207947.50	16488.16
958	207260.49	16595.36
959	206569.02	16710.71
960	205872.74	16833.34
961	205171.35	16962.30
962	204464.59	17096.64
963	203752.23	17235.30
964	203034.09	17377.26
965	202310.04	17521.41
966	201579.98	17666.67
967	200843.87	17811.93
968	200101.71	17956.08
969	199353.54	18098.04
970	198599.45	18236.70
971	197839.59	18371.04
972	197074.13	18500.01
973	196303.29	18622.63
974	195527.35	18737.98
975	194746.60	18845.18
976	193961.39	18943.41
977	193172.08	19031.93
978	192379.08	19110.05
979	191582.83	19177.19
980	190783.78	19232.83
981	189982.41	19276.55
982	189179.22	19308.02
983	188374.72	19327.00
984	187569.43	19333.34
985	186763.87	19327.00
986	185958.58	19308.02
987	185154.08	19276.55
988	184350.89	19232.83
989	183549.52	19177.19
990	182750.47	19110.05
991	181954.22	19031.93
992	181161.23	18943.41
993	180371.92	18845.18
994	179586.70	18737.98
995	178805.95	18622.63
996	178030.01	18500.01
997	177259.17	18371.04
998	176493.72	18236.70
999	175733.85	18098.04
1000	174979.77	17956.08
1001	174231.60	17811.93
1002	173489.43	17666.67
1003	172753.32	17521.41
1004	172023.26	17377.26
1005	171299.21	17235.30
1006	170581.07	17096.64
1007	169868.71	16962.30
1008	169161.95	16833.34
1009	168460.56	16710.71
1010	167764.28	16714.42
1011	167067.85	16585.79
1012	166376.77	16467.91
1013	165690.61	16361.70
1014	165008.87	16267.95
1015	164331.04	16187.38
1016	163656.57	16120.61
1017	162984.88	16068.15
1018	162315.37	16030.38
1019	161647.44	16007.61
1020	160980.45	16000.00
1021	160313.79	16007.61
1022	159646.80	16030.38
1023	158978.87	16000.00
1024	158312.20	16000.00
1025	157645.54	16000.00
1026	156978.87	16000.00
1027	156312.20	16000.00
1028	155645.54	16000.00
1029	154978.87	16000.00
1030	154312.20	16000.00
1031	153645.54	16000.00
1032	152978.87	16000.00
1033	152312.20	16000.00
1034	151645.54	16000.00
1035	150978.87	16000.00
1036	150312.20	16000.00
1037	149645.54	16000.00
1038	148978.87	16000.00
1039	148312.20	16000.00
1040	147645.54	16000.00
1041	146978.87	16000.00
1042	146312.20	16000.00
1043	145645.54	16000.00
1044	144978.87	16000.00
1045	144312.20	16000.00
1046	143645.54	16000.00
1047	142978.87	16000.00
1048	142312.20	16000.00
1049	141645.54	16000.00
1050	140978.87	16000.00
1051	140312.20	16000.00
1052	139645.54	16000.00
1053	138978.87	16000.00
1054	138312.20	16000.00
1055	137645.54	16000.00
1056	136978.87	16000.00
1057	136312.20	16000.00
1058	135645.54	16000.00
1059	134978.87	16000.00
1060	134312.20	16000.00
1061	133645.54	16000.00
1062	132978.87	16000.00
1063	132312.20	16000.00
1064	131645.54	16000.00
1065	130978.87	16000.00
1066	130312.20	16000.00
1067	129645.54	16000.00
1068	128978.87	16000.00
1069	128312.20	16000.00
1070	127645.54	16000.00
1071	126978.87	16000.00
1072	126312.20	16000.00
1073	125645.54	16000.00
1074	124978.87	16000.00
1075	124312.20	16000.00
1076	123645.54	16000.00
1077	122978.87	16000.00
1078	122312.20	16000.00
1079	121645.54	16000.00
1080	120978.87	16000.00
1081	120312.20	16000.00
1082	119645.54	16000.00
1083	118978.87	16000.00
1084	118312.20	16000.00
1085	117645.54	16000.00
1086	116978.87	16000.00
1087	116312.20	16000.00
1088	115645.54	16000.00
1089	114978.87	16000.00
1090	114312.20	16000.00
1091	113645.54	16000.00
1092	112978.87	16000.00
1093	112312.20	16000.00
1094	111645.54	16000.00
1095	110978.87	16000.00
1096	110312.20	16000.00
1097	109645.54	16000.00
1098	108978.87	16000.00
1099	108312.20	16000.00
1100	107645.54	16000.00
1101	106978.87	16000.00
1102	106312.20	16000.00
1103	105645.54	16000.00
1104	104978.87	16000.00
1105	104312.20	16000.00
1106	103645.54	16000.00
1107	102978.87	16000.00
1108	102312.20	16000.00
1109	101645.54	16000.00
1110	100978.87	16000.00
1111	100312.20	16000.00
1112	99645.54	16000.00
1113	98978.87	16000.00
1114	98312.20	16000.00
1115	97645.54	16000.00
1116	96978.87	16000.00
1117	96312.20	16000.00
1118	95645.54	16000.00
1119	94978.87	16000.00
1120	94312.20	16000.00
1121	93645.54	16000.00
1122	92978.87	16000.00
1123	92312.20	16000.00
1124	91645.54	16000.00
1125	90978.87	16000.00
1126	90312.20	16000.00
1127	89645.54	16000.00
1128	88978.87	16000.00
1129	88312.20	16000.00
1130	87645.54	16000.00
1131	86978.87	16000.00
1132	86312.20	16000.00
1133	85645.54	16000.00
1134	84978.87	16000.00
1135	84312.20	16000.00
1136	83645.54	16000.00
1137	82978.87	16000.00
1138	82312.20	16000.00
1139	81645.54	16000.00
1140	80978.87	16000.00
1141	80312.20	16000.00
1142	79645.54	16000.00
1143	78978.87	16000.00
1144	78312.20	16000.00
1145	77645.54	16000.00
1146	76978.87	16000.00
1147	76312.20	16000.00
1148	75645.54	16000.00
1149	74978.87	16000.00
1150	74312.20	16000.00
1151	73645.54	16000.00
1152	72978.87	16000.00
1153	72312.20	16000.00
